Make,Model,Accidents,Avg_Fatal_Injuries,Avg_Serious_Injuries,Destruction_Rate,Serious_Fatal_Fraction
Boeing,757,28,1.5714285714285714,0.10714285714285714,0.07142857142857142,1.6785714285714286
Piper,PA-18-105,14,0.0,0.14285714285714285,0.07142857142857142,0.14285714285714285
Raven,S-60A,14,0.07142857142857142,0.7142857142857143,0.07142857142857142,0.7857142857142857
Boeing,727-224,14,9.357142857142858,1.1428571428571428,0.07142857142857142,10.5
Swearingen,SA226TC,28,0.14285714285714285,0.0,0.07142857142857142,0.14285714285714285
CESSNA,182H,14,0.5,0.21428571428571427,0.07142857142857142,0.7142857142857143
CESSNA,182R,14,0.5,0.07142857142857142,0.07142857142857142,0.5714285714285714
MOONEY,M20,14,0.14285714285714285,0.5,0.07142857142857142,0.6428571428571428
Luscombe,8,14,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.3571428571428571
PIPER,PA-32-301,14,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142
Beech,33,14,0.42857142857142855,0.14285714285714285,0.07142857142857142,0.5714285714285714
STINSON,108-3,14,0.0,0.5714285714285714,0.07142857142857142,0.5714285714285714
Aviat,A-1,27,0.18518518518518517,0.18518518518518517,0.07407407407407407,0.37037037037037035
MOONEY AIRCRAFT CORP.,M20K,27,0.25925925925925924,0.037037037037037035,0.07407407407407407,0.2962962962962963
Maule,M-4-220C,27,0.0,0.07407407407407407,0.07407407407407407,0.07407407407407407
Schweizer,SGS 2-33A,53,0.0,0.07547169811320754,0.07547169811320754,0.07547169811320754
SIKORSKY,S92,13,0.5384615384615384,0.0,0.07692307692307693,0.5384615384615384
AERONCA,7BCM,13,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.46153846153846156
Piper,PA-18-180,13,0.15384615384615385,0.0,0.07692307692307693,0.15384615384615385
Schweizer,300C,13,0.0,0.15384615384615385,0.07692307692307693,0.15384615384615385
Boeing,727-225,13,2.230769230769231,0.07692307692307693,0.07692307692307693,2.307692307692308
PIPER,PA 28R-200,13,0.3076923076923077,0.6923076923076923,0.07692307692307693,1.0
CESSNA,TR182,26,0.19230769230769232,0.23076923076923078,0.07692307692307693,0.42307692307692313
Cessna,210C,13,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385
AIR TRACTOR INC,AT-602,26,0.2692307692307692,0.23076923076923078,0.07692307692307693,0.5
Boeing,737-222,13,0.0,0.7692307692307693,0.07692307692307693,0.7692307692307693
Beech,19,13,0.0,0.0,0.07692307692307693,0.0
Artic Aircraft Corp.,S-1B2,13,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.46153846153846156
Mcdonnell Douglas,MD-11,39,0.1282051282051282,1.8974358974358974,0.07692307692307693,2.0256410256410255
AMERICAN CHAMPION AIRCRAFT,7GCBC,13,0.38461538461538464,0.23076923076923078,0.07692307692307693,0.6153846153846154
Boeing Stearman,A75N1,13,0.15384615384615385,0.0,0.07692307692307693,0.15384615384615385
BELL HELICOPTER TEXTRON,206L-1,13,0.46153846153846156,0.38461538461538464,0.07692307692307693,0.8461538461538463
AYRES CORPORATION,S2R-T34,13,0.15384615384615385,0.3076923076923077,0.07692307692307693,0.46153846153846156
Cessna,172SP,13,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.3076923076923077
CESSNA,172,499,0.3346693386773547,0.23847695390781562,0.0781563126252505,0.5731462925851704
Beech,1900D,51,1.1372549019607843,0.0,0.0784313725490196,1.1372549019607843
CESSNA,120,38,0.13157894736842105,0.18421052631578946,0.07894736842105263,0.3157894736842105
PIPER,PA-28-161,63,0.20634920634920634,0.2857142857142857,0.07936507936507936,0.49206349206349204
Boeing,A75N1,88,0.06818181818181818,0.22727272727272727,0.07954545454545454,0.2954545454545454
CESSNA,150H,25,0.24,0.36,0.08,0.6
Cessna,172R,100,0.11,0.08,0.08,0.19
